År,16-24,25-34,35-44,45-54,55-64,65-74
2000,30.00%,35.00%,32.00%,30.00%,23.00%,14.00%
2001,13.00%,36.00%,32.00%,31.00%,24.00%,15.00%
2002,14.00%,38.00%,33.00%,32.00%,25.00%,16.00%
2003,14.00%,39.00%,34.00%,32.00%,26.00%,17.00%
2004,14.00%,41.00%,35.00%,33.00%,27.00%,18.00%
2005,14.00%,42.00%,36.00%,33.00%,28.00%,18.00%
2006,13.00%,43.00%,37.00%,33.00%,28.00%,19.00%
2007,13.00%,44.00%,38.00%,34.00%,29.00%,20.00%
2008,13.00%,44.00%,39.00%,34.00%,30.00%,22.00%
2009,13.00%,45.00%,40.00%,34.00%,31.00%,23.00%
2010,14.00%,45.00%,42.00%,35.00%,32.00%,24.00%
2011,15.00%,46.00%,43.00%,35.00%,32.00%,25.00%
2012,15.00%,46.00%,44.00%,36.00%,33.00%,26.00%
